"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"current_assets_111401","Fondos en tránsito en tesorería","111401","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_111403","Fondos en tránsito de PayPal a Bancos","111402","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_113101","Inventario de producto para la venta","113101","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_113102","Inventario de consumibles","113102","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_111501","Inversiones (Génerico)","111501","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_121111","Terrenos","121111","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_122111","Edificios","122111","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_122301","Maquinaria y equipo de edificios","122301","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_122302","Herramientas mayores","122302","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_122303","Moibliario y equipo de oficina","122303","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_122304","Equipo de cómputo","122304","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_122305","Vehículos","122305","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_133001","Dep. ac. de maquinaria y equipo de edificios","133001","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_133002","Dep. ac. de herramientas mayores","133002","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_133003","Dep. ac. de mobiliario y equipo de oficina","133003","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_133004","Dep. ac. de equipo de cómputo","133004","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_133005","Dep. ac. de vehículos","133005","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","FALSE"
"current_assets_212102","Impuesto de ventas pagado","212102","account.data_account_type_current_assets","l10n_cr_chart.account_chart_template_cr","TRUE"
"receivable_112001","Cuentas por cobrar comerciales","112001","account.data_account_type_receivable","l10n_cr_chart.account_chart_template_cr","TRUE"
